fk_word,def_en,def_es,translation
352,A problem or question that needs to be dealt with.,Un problema o cuestión que necesita ser abordado.,asunto/problema
353,"a heavy metal element with the symbol Pb, used in batteries and other applications.","un elemento metálico pesado con el símbolo Pb, utilizado en baterías y otras aplicaciones.",plomo/liderazgo
354,a area of ground enclosed by a wall or fence,un área de tierra rodeada por una muralla o valla,tierra
355,a compulsory payment to the government.,un pago obligatorio a los gobiernos.,impuesto
356,during a particular period of time,durante un período determinado de tiempo,durante
357,The body is the physical structure that supports an organism,El cuerpo es la estructura física que soporta un organismo,cuerpo
358,A unit of time equal to 60 minutes.,Unidad de tiempo igual a 60 minutos.,hora
359,The cost of a ticket is $50.,El costo de un boleto es de $50.,costo
360,"occurring or coming third in time, order, or degree.","ocurriendo o llegando tercer en el tiempo, orden o grado.",tercero/tercera
361,the act of choosing between two or more alternatives,el acto de elegir entre dos o más alternativas,decisión
362,A formal sale in which goods are offered for sale and bought by the highest bidder.,Una venta formal en la que se ofrecen bienes y son comprados por el comprador más alto,subasta
363,A domesticated carnivorous mammal often kept as a pet.,Un mamífero carnívoro doméstico a menudo mantenido como mascota.,perro
364,A male child or the male parent of a family.,Un hijo o el padre masculino de una familia.,hijo
365,a particular perspective or outlook,una perspectiva o visión particular,vista
366,A noise or voice produced by a person or thing,Un ruido o voz producido por una persona o cosa,sonido
367,Choose something for use or eating.,Elige algo para uso o para comer.,elegir/recoger
368,the location where something is placed or occurs,el lugar donde algo se encuentra o ocurre,posición
369,a formal expression of opinion or choice in an election.,una expresión formal de opinión o elección en una elección.,voto
370,"a bright, clear, and calm color","un color brillante, claro y tranquilo",azul
371,to form an opinion about something without having enough information,formar una opinión sobre algo sin tener suficiente información,adivinar
372,showed a serious concern for the team's performance.,muestra un serio interés en el rendimiento del equipo.,serio/seria
373,"the system of production, distribution, and consumption of goods and services","el sistema de producción, distribución y consumo de bienes y servicios",economía
374,having the quality of being just and equitable,teniendo la calidad de ser justo e igualitario,justo/justa
375,"a particular occasion or situation in which someone learns or acquires new knowledge, skills, or attitudes.","una oportunidad o situación específica en la que alguien aprende o adquiere nuevos conocimientos, habilidades o actitudes.",experiencia
376,a man or boy considered as a representative type of his sex,un hombre o niño considerado como un tipo representativo de su sexo,chico/tipo
377,A lady is a woman considered to be polite and dignified.,Una señora es una mujer considerada educada y digna.,señora/dama
378,A request or instruction given to someone.,Un pedido o instrucción dada a alguien.,orden
379,unmarried or having only one partner,soltero o sin pareja,soltero/soltera/único/única
380,dead refers to something that has ceased to function or breathe.,muerto/muerta significa algo que ha cesado de funcionar o respirar.,muerto/muerta
381,relating to the government or politics of a country,relacionado con el gobierno o política de un país,político/política
382,The quality or manifestation of human creative expression.,La calidad o manifestación de la expresión creativa humana.,arte
383,The wife is a woman who is married to someone.,La esposa es una mujer casada con alguien.,esposa
384,A young human being from birth.,Un niño es una persona joven desde el nacimiento.,niño/niña
385,extremely high in temperature,muy alto en temperatura,caliente
386,main can be used to refer to the most important or primary part of something.,principal se utiliza para referirse al elemento más importante o principal de algo.,principal
387,to feel anxious or uneasy about something that may happen,sintetizar o preocuparse por algo que puede suceder,preocuparse
388,the process of dying or ceasing to exist,el proceso de morir o cesar a existir,muerte
389,a formal statement of the price at which something will be sold or purchased.,una declaración oficial del precio con el que algo se venderá o comprará.,oferta
390,to interpret or understand the meaning of written or printed words,interpretar o entender el significado de palabras escritas o impresas,leer
391,The ability to be healthy and free from disease.,La capacidad de ser saludable y libre de enfermedad.,salud
392,The control panel is used to regulate the functions of a machine.,El panel de control se utiliza para regular las funciones de una máquina.,control
393,A council is a group of people elected to make decisions on behalf of a community or organization.,Un consejo es un grupo de personas elegidas para tomar decisiones en nombre de una comunidad o organización.,concejo/consejo
394,to allow someone or something to go through a doorway or a period of time,permitir que alguien o algo pase por una puerta u oportunidad,pasar
395,to be in a seated position,estar sentado,sentarse
396,to use money or resources in order to achieve something,utilizar dinero o recursos para lograr algo,gastar
397,A room where people work,Un espacio donde las personas trabajan,oficina
398,to appear or seem to be in a certain way,parecer algo o a alguien,parecer
399,moving or capable of moving with great speed,muevo o capaz de moverse con gran velocidad,rápido/rápida
400,the organ by which we see,el órgano por el cual vemos,ojo
401,a particular standard or point in something,un estándar o punto particular de algo,nivel
